loan_id,account_id,date,status,amount,duration,payments
4959,2,19940105,"Contract Finished/No Problems",80952,24,3373
4961,19,19960429,"Contract Finished/Loan not Payed",30276,12,2523
4962,25,19971208,"Contract Finished/No Problems",30276,12,2523
4967,37,19981014,"Running Contract/Client in Debt",318480,60,5308
4968,38,19980419,"Running Contract/OK",110736,48,2307
4973,67,19960502,"Contract Finished/No Problems",165960,24,6915
4986,97,19970810,"Contract Finished/No Problems",102876,12,8573
4988,103,19971206,"Running Contract/Client in Debt",265320,36,7370
4989,105,19981205,"Running Contract/OK",352704,48,7348
4990,110,19970908,"Running Contract/OK",162576,36,4516
4996,132,19961106,"Contract Finished/No Problems",88440,12,7370
5002,173,19940531,"Contract Finished/No Problems",104808,12,8734
5005,176,19970410,"Contract Finished/No Problems",27456,12,2288
5015,226,19980712,"Running Contract/OK",109344,12,9112
5027,276,19981202,"Running Contract/OK",160920,36,4470
5032,290,19941103,"Contract Finished/No Problems",123696,48,2577
5034,303,19980530,"Running Contract/OK",112752,36,3132
5036,309,19981125,"Running Contract/OK",91248,48,1901
5039,314,19970503,"Running Contract/OK",66840,24,2785
5041,319,19970711,"Running Contract/OK",369000,60,6150
5042,330,19980712,"Running Contract/OK",331584,48,6908
5043,339,19971225,"Running Contract/OK",468060,60,7801
5044,344,19941221,"Running Contract/OK",100980,60,1683
5045,347,19950501,"Contract Finished/Loan not Payed",187224,24,7801
5046,349,19980909,"Running Contract/OK",42816,12,3568
5051,378,19971011,"Running Contract/OK",230400,60,3840
5060,426,19940719,"Running Contract/Client in Debt",252060,60,4201
5061,440,19980313,"Running Contract/OK",84288,48,1756
5063,442,19970710,"Running Contract/Client in Debt",357840,48,7455
5072,472,19970428,"Running Contract/Client in Debt",196800,24,8200
5082,501,19961024,"Running Contract/OK",262980,60,4383
5086,525,19970716,"Running Contract/OK",210384,48,4383
5088,544,19960822,"Contract Finished/No Problems",91152,24,3798
5103,666,19971128,"Contract Finished/No Problems",12540,12,1045
5110,675,19970401,"Running Contract/OK",102240,60,1704
5117,718,19970820,"Contract Finished/No Problems",76944,12,6412
5124,785,19980212,"Running Contract/OK",156096,36,4336
5125,789,19951123,"Running Contract/OK",73056,48,1522
5126,790,19940724,"Contract Finished/Loan not Payed",208128,48,4336
5128,808,19960411,"Running Contract/Client in Debt",215616,48,4492
5130,813,19940511,"Contract Finished/No Problems",24312,12,2026
5131,816,19950108,"Contract Finished/No Problems",48624,24,2026
5132,817,19950217,"Running Contract/OK",538500,60,8975
5134,825,19970202,"Contract Finished/No Problems",53076,12,4423
5136,846,19960728,"Contract Finished/No Problems",187104,24,7796
5138,854,19950530,"Running Contract/OK",87216,48,1817
5140,873,19980224,"Running Contract/OK",178500,60,2975
5145,915,19950916,"Running Contract/OK",309552,48,6449
5147,938,19980521,"Running Contract/OK",22260,60,371
5148,940,19960529,"Running Contract/OK",284280,60,4738
5151,960,19950524,"Running Contract/OK",189060,60,3151
5154,993,19980701,"Running Contract/OK",108720,60,1812
5158,1004,19980411,"Running Contract/OK",188532,36,5237
5160,1011,19951218,"Running Contract/OK",204000,60,3400
5161,1012,19941028,"Contract Finished/No Problems",98184,24,4091
5169,1068,19980924,"Running Contract/OK",253200,60,4220
5170,1071,19940120,"Running Contract/OK",253200,60,4220
5172,1083,19980416,"Running Contract/OK",50976,36,1416
5174,1093,19970613,"Running Contract/OK",385104,48,8023
5176,1106,19941112,"Contract Finished/Loan not Payed",192552,24,8023
5189,1166,19940207,"Contract Finished/No Problems",149040,48,3105
5206,1242,19970907,"Running Contract/OK",128544,24,5356
5207,1244,19970228,"Running Contract/OK",35904,48,748
5208,1247,19950316,"Running Contract/Client in Debt",99696,48,2077
5209,1250,19961125,"Running Contract/OK",182640,48,3805
5210,1252,19970401,"Running Contract/OK",148140,36,4115
5212,1256,19950529,"Contract Finished/No Problems",71064,36,1974
5214,1270,19970701,"Running Contract/OK",74772,36,2077
5221,1284,19981205,"Running Contract/OK",52512,12,4376
5226,1318,19981011,"Running Contract/OK",185544,36,5154
5229,1329,19970906,"Contract Finished/No Problems",23520,12,1960
5236,1374,19970915,"Running Contract/OK",389136,48,8107
5237,1375,19950829,"Contract Finished/No Problems",45336,24,1889
5241,1389,19980902,"Running Contract/OK",125472,24,5228
5245,1407,19980117,"Running Contract/OK",125472,24,5228
5253,1447,19970603,"Running Contract/OK",100080,48,2085
5260,1480,19980119,"Running Contract/OK",123300,36,3425
5265,1498,19981007,"Running Contract/OK",165780,60,2763
5269,1527,19941119,"Contract Finished/Loan not Payed",164052,36,4557
5270,1528,19970721,"Running Contract/OK",191088,48,3981
5281,1580,19971127,"Running Contract/OK",194256,24,8094
5282,1583,19960824,"Running Contract/Client in Debt",388512,48,8094
5285,1603,19940206,"Contract Finished/No Problems",78936,12,6578
5287,1638,19980126,"Running Contract/OK",64224,24,2676
5293,1656,19981029,"Running Contract/OK",189792,48,3954
5301,1698,19960706,"Running Contract/OK",141948,36,3943
5304,1718,19980820,"Running Contract/OK",172272,24,7178
5310,1762,19950428,"Contract Finished/No Problems",248148,36,6893
5311,1766,19960615,"Running Contract/OK",30060,60,501
5312,1772,19960313,"Running Contract/OK",202788,36,5633
5313,1776,19980527,"Running Contract/OK",43200,24,1800
5314,1787,19930705,"Contract Finished/Loan not Payed",96396,12,8033
5316,1801,19930711,"Contract Finished/No Problems",165960,36,4610
5318,1808,19980930,"Running Contract/OK",385584,48,8033
5319,1811,19940623,"Running Contract/OK",239460,60,3991
5320,1819,19980111,"Running Contract/OK",143676,36,3991
5325,1843,19930803,"Contract Finished/No Problems",105804,36,2939
5329,1862,19961016,"Running Contract/OK",396120,60,6602
5332,1869,19980129,"Running Contract/OK",37944,36,1054
5334,1876,19980910,"Running Contract/OK",209040,24,8710
5337,1886,19960731,"Running Contract/OK",162468,36,4513
5338,1888,19970830,"Contract Finished/Loan not Payed",57360,12,4780
5343,1906,19971008,"Running Contract/OK",44952,24,1873
5346,1928,19981206,"Running Contract/OK",55632,24,2318
5350,1967,19960421,"Running Contract/OK",249312,48,5194
5351,1978,19941204,"Contract Finished/No Problems",205200,36,5700
5352,1993,19950415,"Contract Finished/Loan not Payed",68400,12,5700
5354,2000,19980714,"Running Contract/OK",290820,60,4847
5358,2018,19970121,"Contract Finished/No Problems",38520,12,3210
5360,2035,19980125,"Running Contract/OK",176328,36,4898
5363,2051,19970422,"Running Contract/Client in Debt",293880,60,4898
5365,2055,19980719,"Running Contract/OK",271260,60,4521
5366,2062,19961029,"Contract Finished/No Problems",86184,12,7182
5367,2064,19970826,"Running Contract/OK",83628,36,2323
5368,2073,19981005,"Running Contract/OK",44640,24,1860
5369,2080,19970912,"Running Contract/OK",214596,36,5961
5375,2106,19961003,"Contract Finished/No Problems",101520,12,8460
5377,2116,19970804,"Contract Finished/No Problems",92400,12,7700
5382,2134,19970317,"Running Contract/OK",22932,36,637
5384,2142,19980307,"Running Contract/OK",23328,12,1944
5385,2143,19960909,"Running Contract/OK",71460,36,1985
5388,2153,19961128,"Contract Finished/No Problems",61560,12,5130
5389,2165,19970822,"Running Contract/OK",78600,24,3275
5390,2167,19941030,"Contract Finished/No Problems",170256,24,7094
5395,2176,19940730,"Contract Finished/Loan not Payed",299088,36,8308
5398,2187,19971104,"Contract Finished/No Problems",53472,12,4456
5409,2218,19951118,"Running Contract/OK",182040,60,3034
5413,2227,19951212,"Contract Finished/No Problems",92976,24,3874
5414,2228,19950329,"Running Contract/OK",185952,48,3874
5415,2236,19960926,"Running Contract/Client in Debt",139464,36,3874
5418,2245,19950116,"Running Contract/OK",347952,48,7249
5419,2246,19970205,"Running Contract/OK",415800,60,6930
5420,2247,19970224,"Running Contract/OK",72504,24,3021
5428,2262,19981202,"Running Contract/OK",230220,36,6395
5429,2268,19960718,"Running Contract/OK",20196,36,561
5435,2279,19980601,"Running Contract/OK",314688,48,6556
5445,2322,19960629,"Contract Finished/No Problems",46320,24,1930
5446,2334,19970804,"Running Contract/OK",48312,24,2013
5447,2335,19971112,"Running Contract/Client in Debt",541200,60,9020
5449,2343,19951104,"Contract Finished/No Problems",99336,24,4139
5450,2345,19941211,"Running Contract/OK",199680,60,3328
5451,2350,19970511,"Running Contract/OK",159744,48,3328
5452,2352,19960429,"Running Contract/OK",49440,60,824
5453,2361,19950401,"Contract Finished/No Problems",156672,36,4352
5463,2413,19981006,"Running Contract/OK",17952,12,1496
5464,2419,19950130,"Contract Finished/No Problems",95808,12,7984
5469,2445,19971226,"Running Contract/OK",293160,60,4886
5470,2456,19960415,"Running Contract/OK",200976,48,4187
5479,2486,19940110,"Contract Finished/No Problems",24516,12,2043
5482,2496,19960112,"Running Contract/OK",165120,60,2752
5486,2516,19970613,"Running Contract/OK",466608,48,9721
5491,2545,19980213,"Running Contract/OK",428784,48,8933
5494,2572,19960613,"Running Contract/OK",360000,48,7500
5495,2580,19960802,"Running Contract/OK",89340,60,1489
5501,2622,19980521,"Running Contract/OK",136344,24,5681
5519,2694,19940308,"Contract Finished/No Problems",91632,12,7636
5520,2699,19980830,"Running Contract/OK",231168,48,4816
5523,2705,19931208,"Contract Finished/No Problems",93888,36,2608
5525,2720,19980427,"Running Contract/OK",93888,36,2608
5526,2725,19981108,"Running Contract/OK",69624,36,1934
5527,2728,19980615,"Running Contract/OK",156420,60,2607
5531,2753,19970930,"Running Contract/OK",66432,24,2768
5532,2754,19970504,"Running Contract/OK",335280,48,6985
5533,2762,19940705,"Contract Finished/No Problems",111384,24,4641
5549,2824,19940716,"Running Contract/OK",50460,60,841
5556,2872,19970519,"Running Contract/OK",268320,60,4472
5561,2910,19980829,"Running Contract/OK",437460,60,7291
5563,2912,19960229,"Running Contract/OK",380160,60,6336
5568,2933,19940517,"Running Contract/OK",272520,60,4542
5569,2936,19980120,"Running Contract/OK",504000,60,8400
5576,2962,19941221,"Contract Finished/No Problems",31248,12,2604
5582,2982,19980417,"Running Contract/OK",41256,12,3438
5584,2986,19971206,"Running Contract/OK",24792,24,1033
