level1	level1	measure	countOfDetailedCells	
Blue-collar	77-81	21.0000	3	
white-collar	77-81	24.4000	10	
white-collar	72-76	24.9130	23	
Other	17-21	27.1297	293	
Blue-collar	72-76	27.2222	9	
white-collar	17-21	27.4466	506	
white-collar	82-86	27.5000	2	
Blue-collar	67-71	29.7000	10	
white-collar	67-71	32.0667	45	
Blue-collar	17-21	32.1588	170	
Blue-collar	62-66	34.0833	24	
white-collar	22-26	34.8069	518	
Other	22-26	35.4808	208	
Other	87-90	36.6667	3	
white-collar	62-66	37.0000	90	
Other	62-66	37.6522	23	
Other	67-71	38.6923	13	
Blue-collar	22-26	38.8698	315	
white-collar	87-90	39.0000	3	
Other	27-31	40.0168	119	
Blue-collar	57-61	40.1233	73	
Other	57-61	40.2105	38	
white-collar	57-61	41.4177	158	
white-collar	27-31	41.7445	411	
Other	47-51	42.1286	70	
Blue-collar	47-51	42.5696	158	
Blue-collar	27-31	42.6246	293	
Blue-collar	52-56	42.8241	108	
white-collar	52-56	42.8565	223	
Other	32-36	43.0331	121	
white-collar	42-46	43.1555	418	
white-collar	32-36	43.2079	428	
white-collar	37-41	43.3083	399	
Blue-collar	37-41	43.4291	296	
Other	37-41	43.6372	113	
Blue-collar	32-36	43.6952	269	
white-collar	47-51	44.0063	318	
Blue-collar	42-46	44.2008	259	
Other	52-56	44.3556	45	
Other	42-46	46.3864	88	
Other	72-76	57.0000	2	
