account.account_id,1839,1124
account.account_id,1840,1090
account.account_id,1841,1088
account.account_id,1846,1137
account.account_id,1847,1139
account.account_id,1848,1094
account.account_id,1843,1141
account.account_id,1844,1064
account.account_id,1845,1119
account.account_id,1851,1075
account.account_id,1852,1086
account.account_id,1857,1118
account.account_id,1858,1146
account.account_id,1859,1084
account.account_id,1853,1058
account.account_id,1854,1124
account.account_id,1855,1090
account.account_id,1856,1125
account.account_id,1860,1088
account.account_id,1861,1063
account.account_id,1862,1143
account.district_name,Sumperk,61364
account.account_id,1863,1112
account.account_id,1868,1067
account.account_id,1869,1076
account.account_id,1865,1131
account.account_id,1866,1083
account.account_id,1867,1062
account.account_id,1871,1039
account.account_id,1872,1095
account.account_id,1874,1090
account.account_id,1870,1104
account.account_id,1879,1066
account.account_id,1875,1145
account.account_id,1876,1099
account.account_id,1877,1130
account.account_id,1878,1170
account.account_id,4071,1147
account.account_id,4078,1097
account.account_id,4079,1116
account.account_id,1802,1093
account.account_id,1803,1174
account.account_id,1804,1068
account.account_id,1805,1102
account.account_id,1800,1056
account.account_id,1801,1056
account.account_id,1806,1152
account.account_id,1807,1093
account.account_id,1808,1086
account.account_id,1809,1174
account.account_id,4088,1104
account.account_id,4086,1075
account.district_name,Karvina,168875
account.account_id,4081,1128
account.account_id,4082,1167
account.account_id,1813,1074
account.account_id,1814,1131
account.account_id,1815,1120
account.account_id,1816,1140
account.account_id,1810,1075
account.account_id,1811,1093
account.account_id,1812,1139
account.account_id,4090,1100
account.account_id,4091,1167
account.account_id,1817,1116
account.account_id,1818,1095
account.account_id,1819,1128
account.account_id,10607,1093
account.account_id,4099,1087
account.account_id,4092,1166
account.account_id,4093,1152
date.Day,1993-06-05,2423
date.Day,1993-06-06,2548
date.Day,1993-06-03,2526
date.Day,1993-06-04,2411
date.Day,1993-06-01,2474
date.Day,1993-06-02,2438
account.account_id,1824,1103
account.account_id,1825,1095
account.account_id,1826,1102
account.account_id,1827,1110
account.account_id,1820,1105
date.Day,1993-06-09,2437
account.account_id,1821,1139
account.account_id,1822,1117
date.Day,1993-06-07,2442
account.account_id,1823,1163
date.Day,1993-06-08,2427
account.account_id,1828,1158
account.account_id,1829,1096
status.SK_status,4,1249971
account.account_id,1830,1124
account.account_id,1835,1102
account.account_id,1836,1064
account.account_id,1837,1197
account.district_name,Hradec Kralove,54422
account.account_id,1838,1133
account.account_id,1831,1069
status.SK_status,1,1249710
account.account_id,1832,1114
account.account_id,1833,1069
status.SK_status,3,1249472
